OST,OST,https://github.com/OpenSTFoundation/openst-platform/graphs/commit-activity,83,13 contributors
Bitcoin,XBC,https://github.com/bitcoinplusorg/xbcwalletsource/graphs/commit-activity,83,+100 contributors
EverGreenCoin,EGC,https://github.com/EverGreenCoinDev/EverGreenCoin/graphs/commit-activity,82,7 contributors
Telcoin,TEL,/graphs/commit-activity,80,2 contributors
Crypto,CIF,https://github.com/CIF-Github/CIF-Core/graphs/commit-activity,80,+100 contributors
Dether,DTH,/graphs/commit-activity,80,6 contributors
EveryCoin,EVY,https://github.com/aaron-platform/everycoin/graphs/commit-activity,79,2 contributors
ADAMANT,ADM,https://github.com/adamant-im/adamant-pool/graphs/commit-activity,79,3 contributors
WeAreSatoshi,WSX,https://github.com/WeAreSatoshi/WeAreSatoshi2/graphs/commit-activity,79,97 contributors
Exchange,XUC,https://github.com/ExchangeUnion/btcd/graphs/commit-activity,79,86 contributors
Xchange,XCG,https://github.com/Xcgtech/Wallet/graphs/commit-activity,78,3 contributors
XYO,XYO,/graphs/commit-activity,78,5 contributors
Superior,SUP,https://github.com/TheSuperiorCoin/TheSuperiorCoin/graphs/commit-activity,77,6 contributors
SingularityNET,AGI,https://github.com/singnet/holistic-edge-detection-service/graphs/commit-activity,77,3 contributors
Quant,QNT,https://github.com/quantnetwork/eth-contract-metadata/graphs/commit-activity,77,68 contributors
GoByte,GBX,https://github.com/gobytecoin/gobyte/graphs/commit-activity,77,4 contributors
eosDAC,EOSDAC,/graphs/commit-activity,75,4 contributors
SnowGem,XSG,https://github.com/Snowgem/Snowgem/graphs/commit-activity,75,6 contributors
Ubiq,UBQ,https://github.com/ubiq/go-ubiq/graphs/commit-activity,75,+100 contributors
THETA,THETA,https://github.com/thetatoken/theta-infrastructure-vault/graphs/commit-activity,72,1 contributor
Ink,INK,https://github.com/inklabsfoundation/inkchain/graphs/commit-activity,71,7 contributors
Achain,ACT,https://github.com/Achain-Dev/Achain/graphs/commit-activity,71,10 contributors
Citadel,CTL,https://github.com/cntemple/Citadel/graphs/commit-activity,70,5 contributors
CommerceBlock,CBT,/graphs/commit-activity,68,2 contributors
Cosmos,ATOM2,https://github.com/cosmos/ledger-go/graphs/commit-activity,68,2 contributors
Zap,ZAP,https://github.com/zapproject/FeedArbitration/graphs/commit-activity,67,12 contributors
Counterparty,XCP,https://github.com/CounterpartyXCP/counterparty-lib/graphs/commit-activity,67,29 contributors
Castle,CSTL,https://github.com/growaleaf/CastleMN/graphs/commit-activity,67,4 contributors
SpectrumCash,XSM,https://github.com/Spectrumcash/Spectrum-Coin/graphs/commit-activity,66,3 contributors
Paymon,PMNT,https://github.com/PaymonTeam/paymon-ios-new/graphs/commit-activity,65,3 contributors
Themis,GET2,https://github.com/themis-network/go-themis/graphs/commit-activity,64,6 contributors
Moss,MOC,/graphs/commit-activity,62,4 contributors
WePower,WPR,/graphs/commit-activity,62,4 contributors
VIVO,VIVO,https://github.com/vivocoin/vivo/graphs/commit-activity,61,1 contributor
HOdlcoin,HODL,https://github.com/HOdlcoin/HOdlcoin/graphs/commit-activity,60,+100 contributors
EXMR,EXMR,https://github.com/eXMRcoin/Ethereum-Monero/graphs/commit-activity,60,1 contributor
Teloscoin,TELOS,https://github.com/phoenixkonsole/transcendence/graphs/commit-activity,59,4 contributors
THEKEY,TKY,/graphs/commit-activity,58,1 contributor
PRiVCY,PRIV,https://github.com/privcycoin/privcy/graphs/commit-activity,57,3 contributors
Advanced,AIB,https://github.com/iobond/aib/graphs/commit-activity,57,7 contributors
DeviantCoin,DEV,/graphs/commit-activity,57,4 contributors
Aditus,ADI,/graphs/commit-activity,56,23 contributors
Kalkulus,KLKS,https://github.com/kalkulusteam/klks/graphs/commit-activity,56,3 contributors
Bitcore,BTX,https://github.com/LIMXTEC/BitCore/graphs/commit-activity,55,10 contributors
Naviaddress,NAVI,/graphs/commit-activity,55,3 contributors
Cybereits,CRE,https://github.com/Cybereits/ms-token/graphs/commit-activity,53,1 contributor
MaidSafeCoin,MAID,https://github.com/maidsafe/crust/graphs/commit-activity,52,30 contributors
E-Dinar,EDR2,/graphs/commit-activity,52,2 contributors
Pigeoncoin,PGN,https://github.com/Pigeoncoin/pigeoncoin/graphs/commit-activity,51,9 contributors
CanYaCoin,CAN,https://github.com/canyaio/cantrack-webui/graphs/commit-activity,51,4 contributors
Metronome,MET,/graphs/commit-activity,51,5 contributors
Nekonium,NUKO,https://github.com/nekonium/nekonium.github.io/graphs/commit-activity,51,7 contributors
Mercury,MER,https://github.com/SigwoTechnologies/jupiter/graphs/commit-activity,50,1 contributor
U,UUU,/graphs/commit-activity,50,21 contributors
BitGuild,PLAT,https://github.com/BitGuildPlatform/tronsr-template/graphs/commit-activity,50,4 contributors
Darcrus,DAR,https://github.com/SigwoTechnologies/jupiter/graphs/commit-activity,50,1 contributor
HOQU,HQX,/graphs/commit-activity,50,2 contributors
AWARE,AT,/graphs/commit-activity,48,19 contributors
Galactrum,ORE,/graphs/commit-activity,48,2 contributors
Aegeus,AEG,/graphs/commit-activity,46,
Remme,REM,https://github.com/Remmeauth/remme-block-explorer/graphs/commit-activity,46,3 contributors
Iridium,IRD,https://github.com/iridiumdev/iridium/graphs/commit-activity,45,6 contributors
ContractNet,CNET,https://github.com/ContractNetLabs/go-ContractNet/graphs/commit-activity,44,+100 contributors
Phantomx,PNX,https://github.com/phantomxdev/phantomx/graphs/commit-activity,44,3 contributors
Block,ARY,/graphs/commit-activity,44,1 contributor
BOX,BOX,/graphs/commit-activity,44,
Newton,NCP,/graphs/commit-activity,43,2 contributors
Mincoin,MNC2,https://github.com/main-coin/main-explorer-frontend/graphs/commit-activity,41,1 contributor
CryCash,CRC,https://github.com/crowdcoinChain/Crowdcoin/graphs/commit-activity,41,1 contributor
MassGrid,MGD,https://github.com/MassGrid/MassGrid/graphs/commit-activity,40,5 contributors
Wibson,WIB,https://github.com/wibsonorg/tokens-distribution/graphs/commit-activity,40,3 contributors
CloakCoin,CLOAK,https://github.com/CloakProject/Cloak2Public/graphs/commit-activity,40,3 contributors
AppCoins,APPC,https://github.com/AppStoreFoundation/asf-unity-plugin-2017/graphs/commit-activity,39,3 contributors
BBSCoin,BBS,https://github.com/bbscoin/bbscoin-xyz-i18n/graphs/commit-activity,39,3 contributors
Carlive,IOV,/graphs/commit-activity,39,14 contributors
XTRABYTES,XBY,https://github.com/borzalom/XtraBYtes/graphs/commit-activity,39,8 contributors
Hydro,HYDRO,/graphs/commit-activity,38,3 contributors
Oxycoin,OXY,https://github.com/oxycoin/oxy-node/graphs/commit-activity,38,27 contributors
Sharpe,SHP,/graphs/commit-activity,38,2 contributors
TEMCO,TEMCO,https://github.com/temcolabs/token/graphs/commit-activity,38,1 contributor
nOS,NOS,https://github.com/nos/voting-system-research/graphs/commit-activity,38,2 contributors
